"Cashway payment","Cashway payment"
"Cashway account configuration","Cashway account configuration"
"Api key (production account)","Api key (production account)"
"Api secret (production account)","Api secret (production account)"
"Api Shared secret (production account)","Api Shared secret (production account)"
"Api key (test account)","Api key (test account)"
"Api secret (test account)","Api secret (test account)"
"Api Shared secret (test account)","Api Shared secret (test account)"
"Cashway payment method","Cashway payment method"
"Allow redirection","Allow redirection"
"Enable redirection if last payment failed","Enable redirection if last payment failed"
"Enable debug log","Enable debug log"
"Log all queries to and from cashway API","Log all queries to and from cashway API"
"Enable test mode","Enable test mode"
"Call requests in test API Endpoint","Call requests in test API Endpoint"
"Conversion Expired at %s.","Conversion Expired at %s."
"Transaction confimed with status %s.","Transaction confimed with status %s."
"Transaction paid at %s.","Transaction paid at %s."
"Transaction Expired at %s.","Transaction Expired at %s."
"Transaction Canceled with status %s.","Transaction Canceled with status %s."
"Transaction Blocked with status %s.","Transaction Blocked with status %s."
"Notification received with data %s.","Notification received with data %s."
"Transaction is open.","Transaction is open."
"Redirect from Applicable Methods","Redirect from Applicable Methods"
"Redirect from Specific Methods","Redirect from Specific Methods"
"Redirect to cashway if it's allowed for previously method","Redirect to cashway if it's allowed for previously method"
"All Enabled Methods","All Enabled Methods"
"Specific Methods","Specific Methods"
"Cashway is actually not available.","Cashway is actually not available."
"Find cashway payment points","Find cashway payment points"
"Pay with CASHWAY","Pay with CASHWAY"
"Your payment has been refused by <u><em>%s</em></u> for any reason but you can purchase your order now with cashway.","Your payment has been refused by <u><em>%s</em></u> for any reason but you can purchase your order now with cashway."
"Cashway allow payment in cash money! Try now!","Cashway allow payment in cash money! Try now!"
